"IPAddress","HostOctet","UsableHost","Reachable","LatencyMs","Hostname","CheckedAt","Name","Description","Notes","CredentialRef","MgmtReachable","LastUpdated"
"192.168.0.181","181","TRUE","FALSE","","","2026-04-12 15:17:36","","","","","","2026-04-13 12:17:21"
"192.168.0.182","182","TRUE","FALSE","","","2026-04-12 15:17:36","","","","","","2026-04-13 12:17:21"
"192.168.0.183","183","TRUE","FALSE","","","2026-04-12 15:17:36","","","","","","2026-04-13 12:17:21"
"192.168.0.184","184","TRUE","FALSE","","","2026-04-12 15:17:36","","","","","","2026-04-13 12:17:21"
"192.168.1.0","0","FALSE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.1","1","TRUE","TRUE","0","","4/11/2026 14:49","udm-pro-max","Ubiquiti UniFi Dream Machine Pro Max (gateway/router)","Managed via UniFi Integration API using UDM_PRO_API_KEY. Automation sync scripts under automation/unifi/ can ingest sites/devices/clients into NetBox.","UDM_PRO_API_KEY,UDM_PRO_HOST","TRUE","2026-04-13 12:45:59"
"192.168.1.2","2","TRUE","FALSE","","","4/11/2026 14:49","csgsw01","Cisco Catalyst 2960X 48-port PoE switch (management SVI on VLAN 1).","Management moved from 192.168.0.2/24 to 192.168.1.2/24 with gateway 192.168.1.1 on 2026-04-12 via console.","SWITCH_CISCO_2960_HOST,SWITCH_CISCO_2960_ENABLE_SECRET","TRUE","2026-04-12 14:11:59"
"192.168.1.3","3","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.4","4","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.5","5","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.6","6","TRUE","TRUE","63","HP7C815C.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.7","7","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.8","8","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.9","9","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.10","10","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.11","11","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.12","12","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.13","13","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.14","14","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.15","15","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.16","16","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.17","17","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.18","18","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.19","19","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.20","20","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.21","21","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.22","22","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.23","23","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.24","24","TRUE","TRUE","4","VMB4000.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.25","25","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.26","26","TRUE","TRUE","120","iRobot-A3A4D37EA197440EA26E91BB288D4BE2.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.27","27","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.28","28","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.29","29","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.30","30","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.31","31","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.32","32","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.33","33","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.34","34","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.35","35","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.36","36","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.37","37","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.38","38","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.39","39","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.40","40","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.41","41","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.42","42","TRUE","TRUE","0","AFi-R-HD-1635CA.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.43","43","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.44","44","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.45","45","TRUE","TRUE","3","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.46","46","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.47","47","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.48","48","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.49","49","TRUE","TRUE","0","DESKTOP-488G4G8.localdomain","4/11/2026 14:49","lab-vm-host","Primary Windows workstation / VMware host for homelab VMs.","Local management machine used for kubectl/helm and automation tasks.","VM_HOST_IP","TRUE","2026-04-13 12:17:21"
"192.168.1.50","50","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.51","51","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.52","52","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.53","53","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.54","54","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.55","55","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.56","56","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.57","57","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.58","58","TRUE","TRUE","39","MyQ-623.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.59","59","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.60","60","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.61","61","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.62","62","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.63","63","TRUE","TRUE","147","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.64","64","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.65","65","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.66","66","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.67","67","TRUE","TRUE","137","iPad.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.68","68","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.69","69","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.70","70","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.71","71","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.72","72","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.73","73","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.74","74","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.75","75","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.76","76","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.77","77","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.78","78","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.79","79","TRUE","TRUE","","","2026-04-12 15:17:36","rancherweb01","Ubuntu VM running Rancher Server container (rancher/rancher:v2.8.0).","Rancher webhook admission issue resolved on 2026-04-12 by moving webhook pod to master node; Rancher webhook service now has ready endpoint.","RANCHERWEB01_HOST,RANCHERWEB01_USER,RANCHERWEB01_PASSWORD","TRUE","2026-04-12 15:17:36"
"192.168.1.80","80","TRUE","TRUE","","","2026-04-12 15:17:36","oma01rpicls01mstr01","Raspberry Pi k3s control-plane/master node.","OS packages upgraded on 2026-04-12; k3s upgraded from v1.28.8+k3s1 to v1.28.15+k3s1; hosts n8n (31789, ns n8n), NetBox (32081, ns netbox), OpenBao (32000, ns openbao), Argo CD (32090, ns argocd), Prometheus (32091, ns observability), Grafana (32030, ns observability), and OpenCost (32093, ns opencost). Loki is internal-only in observability namespace. ESO runs in external-secrets namespace; cert-manager in cert-manager. Falco (ns falco) and Velero+MinIO (ns velero) are deployed and healthy.","K3S_MASTER_HOST,K3S_MASTER_USER,K3S_MASTER_PASSWORD,ARGOCD_ADMIN_USER,ARGOCD_ADMIN_PASSWORD,GRAFANA_ADMIN_PASSWORD,VELERO_MINIO_ACCESS_KEY,VELERO_MINIO_SECRET_KEY","TRUE","2026-04-12 18:28:27"
"192.168.1.81","81","TRUE","FALSE","","oma01rpicls01wknd01","2026-04-12 15:17:36","oma01rpicls01wknd01","Raspberry Pi k3s worker node.","Still NotReady and unreachable. Worker remains on legacy 192.168.0.0/24 addressing or offline; unreachable even after temporary 192.168.0.250 alias added on master.","","FALSE","2026-04-13 12:17:21"
"192.168.1.82","82","TRUE","FALSE","","oma01rpicls01wknd02","2026-04-12 15:17:36","oma01rpicls01wknd02","Raspberry Pi k3s worker node.","Still NotReady and unreachable. Worker remains on legacy 192.168.0.0/24 addressing or offline; unreachable even after temporary 192.168.0.250 alias added on master.","","FALSE","2026-04-13 12:17:21"
"192.168.1.83","83","TRUE","FALSE","","oma01rpicls01wknd03","2026-04-12 15:17:36","oma01rpicls01wknd03","Raspberry Pi k3s worker node.","Still NotReady and unreachable. Worker remains on legacy 192.168.0.0/24 addressing or offline; unreachable even after temporary 192.168.0.250 alias added on master.","","FALSE","2026-04-13 12:17:21"
"192.168.1.84","84","TRUE","FALSE","","oma01rpicls01wknd04","2026-04-12 15:17:36","oma01rpicls01wknd04","Raspberry Pi k3s worker node.","Still NotReady and unreachable. Worker remains on legacy 192.168.0.0/24 addressing or offline; unreachable even after temporary 192.168.0.250 alias added on master.","","FALSE","2026-04-13 12:17:21"
"192.168.1.85","85","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.86","86","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.87","87","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.88","88","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.89","89","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.90","90","TRUE","TRUE","204","Smart_Camera.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.91","91","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.92","92","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.93","93","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.94","94","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.95","95","TRUE","TRUE","283","Adam-s-Z-Fold6.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.96","96","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.97","97","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.98","98","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.99","99","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.100","100","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.101","101","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.102","102","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.103","103","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.104","104","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.105","105","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.106","106","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.107","107","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.108","108","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.109","109","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.110","110","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.111","111","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.112","112","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.113","113","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.114","114","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
